Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Color,Banner Image
Granite,granite,60cebc21d1b31b71148b94c9,60cebc21d1b31b330d8b94fe,Fri Sep 25 2015 04:41:36 GMT+0000 (Coordinated Universal Time),Tue Jul 13 2021 06:55:12 GMT+0000 (Coordinated Universal Time),Tue Jul 13 2021 21:25:12 GMT+0000 (Coordinated Universal Time),#dd783f,https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60ed34f134cea313d4749256_220px-Roca_Granito.JPG
Quartz,quartz,60cebc21d1b31b71148b94c9,60cebc21d1b31b98628b94fc,Fri Sep 25 2015 04:39:10 GMT+0000 (Coordinated Universal Time),Tue Jul 13 2021 06:55:29 GMT+0000 (Coordinated Universal Time),Tue Jul 13 2021 21:25:12 GMT+0000 (Coordinated Universal Time),#4aaec2,https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60ed36b53b1c1f5e7fb6707b_samples.jpg
